case_id,host_identified,country
SYN-01153,N,해외
SYN-01154,N,해외
SYN-01155,N,해외
SYN-01156,N,미국
SYN-01157,N,미국
SYN-01158,Y,해외
SYN-01159,N,해외
SYN-01160,N,미국
SYN-01161,N,미국
SYN-01162,N,미국
SYN-01163,N,미국
SYN-01164,Y,해외
SYN-01165,Y,해외
SYN-01166,N,해외
SYN-01167,N,해외
SYN-01168,Y,해외
SYN-01169,N,미국
SYN-01170,N,
SYN-01171,N,해외
SYN-01172,N,해외
SYN-01173,Y,미국
SYN-01174,N,미국
SYN-01175,N,해외
SYN-01176,N,미국
SYN-01177,N,해외
SYN-01178,N,
SYN-01179,N,해외
SYN-01180,Y,미국
SYN-01181,Y,해외
SYN-01182,N,미국
SYN-01183,N,미국
SYN-01184,Y,미국
SYN-01185,N,해외
SYN-01186,Y,해외
SYN-01187,N,미국
SYN-01188,Y,미국
SYN-01189,N,미국
SYN-01190,N,해외
SYN-01191,N,해외
SYN-01192,N,미국
SYN-01193,N,미국
SYN-01194,N,해외
SYN-01195,N,해외
SYN-01196,N,해외
SYN-01197,Y,해외
SYN-01198,Y,
SYN-01199,Y,
SYN-01200,Y,해외
SYN-01201,N,미국
SYN-01202,N,미국
SYN-01203,Y,미국
SYN-01204,N,해외
SYN-01205,N,미국
SYN-01206,N,해외
SYN-01207,Y,
SYN-01208,N,해외
SYN-01209,N,해외
SYN-01210,N,해외
SYN-01211,N,해외
SYN-01212,Y,미국
SYN-01213,N,
SYN-01214,Y,해외
SYN-01215,N,해외
SYN-01216,N,미국
SYN-01217,N,해외
SYN-01218,Y,해외
SYN-01219,N,해외
SYN-01220,N,미국
SYN-01221,N,미국
SYN-01222,N,해외
SYN-01223,N,해외
SYN-01224,N,해외
SYN-01225,Y,미국
SYN-01226,N,미국
SYN-01227,Y,미국
SYN-01228,N,미국
SYN-01229,Y,해외
SYN-01230,N,
SYN-01231,N,미국
SYN-01232,N,미국
SYN-01233,Y,미국
SYN-01234,N,미국
SYN-01235,N,
SYN-01236,Y,해외
SYN-01237,N,미국
SYN-01238,N,해외
SYN-01239,N,해외
SYN-01240,N,미국
SYN-01241,Y,해외
SYN-01242,N,해외
SYN-01243,Y,해외
SYN-01244,N,미국
SYN-01245,N,해외
SYN-01246,N,
SYN-01247,N,미국
SYN-01248,N,해외
SYN-01249,Y,미국
SYN-01250,N,미국
SYN-01251,N,미국
SYN-01252,N,
SYN-01253,N,해외
SYN-01254,N,해외
SYN-01255,N,미국
SYN-01256,Y,해외
SYN-01257,N,
SYN-01258,Y,미국
SYN-01259,Y,해외
SYN-01260,N,해외
SYN-01261,N,해외
SYN-01262,N,해외
SYN-01263,N,미국
SYN-01264,N,해외
SYN-01265,Y,미국
SYN-01266,N,해외
SYN-01267,N,해외
SYN-01268,N,해외
SYN-01269,Y,해외
SYN-01270,N,미국
SYN-01271,N,해외
SYN-01272,N,미국
SYN-01273,N,해외
SYN-01274,N,해외
SYN-01275,N,미국
SYN-01276,N,해외
SYN-01277,N,해외
SYN-01278,N,해외
SYN-01279,Y,해외
SYN-01280,N,해외
SYN-01281,Y,미국
SYN-01282,N,해외
SYN-01283,N,해외
SYN-01284,N,미국
SYN-01285,N,해외
SYN-01286,Y,미국
SYN-01287,N,미국
SYN-01288,N,미국
SYN-01289,N,미국
SYN-01290,Y,해외
SYN-01291,N,해외
SYN-01292,Y,미국
SYN-01293,N,해외
SYN-01294,N,해외
SYN-01295,N,해외
SYN-01296,N,해외
SYN-01297,N,미국
SYN-01298,Y,미국
SYN-01299,Y,해외
SYN-01300,N,해외
SYN-01301,N,
SYN-01302,Y,해외
SYN-01303,N,해외
SYN-01304,N,해외
SYN-01305,N,해외
SYN-01306,N,미국
SYN-01307,N,미국
SYN-01308,Y,
SYN-01309,Y,해외
SYN-01310,Y,해외
SYN-01311,N,해외
SYN-01312,N,해외
SYN-01313,N,미국
SYN-01314,N,미국
SYN-01315,Y,미국
SYN-01316,N,해외
SYN-01317,N,미국
SYN-01318,N,미국
SYN-01319,N,해외
SYN-01320,N,해외
SYN-01321,N,해외
SYN-01322,N,미국
SYN-01323,N,해외
SYN-01324,Y,미국
SYN-01325,N,해외
SYN-01326,Y,미국
SYN-01327,N,미국
SYN-01328,N,해외
SYN-01329,N,해외
SYN-01330,N,해외
SYN-01331,N,해외
SYN-01332,N,미국
SYN-01333,Y,미국
SYN-01334,N,해외
SYN-01335,Y,미국
SYN-01336,Y,미국
SYN-01337,Y,해외
SYN-01338,N,미국
SYN-01339,N,미국
SYN-01340,N,해외
SYN-01341,N,미국
SYN-01342,N,해외
SYN-01343,N,해외
SYN-01344,Y,
SYN-01345,N,해외
SYN-01346,N,해외
SYN-01347,N,미국
SYN-01348,N,미국
SYN-01349,N,미국
SYN-01350,N,해외
SYN-01351,N,미국
SYN-01352,Y,미국
SYN-01353,Y,미국
SYN-01354,N,해외
SYN-01355,N,해외
SYN-01356,N,미국
SYN-01357,N,해외
SYN-01358,Y,미국
SYN-01359,Y,미국
SYN-01360,N,미국
SYN-01361,N,미국
SYN-01362,Y,해외
SYN-01363,N,해외
SYN-01364,N,
SYN-01365,Y,미국
SYN-01366,N,미국
SYN-01367,N,미국
SYN-01368,N,해외
SYN-01369,Y,해외
SYN-01370,N,미국
SYN-01371,N,해외
SYN-01372,N,해외
SYN-01373,Y,해외
SYN-01374,Y,미국
SYN-01375,N,해외
SYN-01376,N,해외
SYN-01377,N,미국
SYN-01378,N,해외
SYN-01379,Y,해외
SYN-01380,N,
SYN-01381,Y,미국
SYN-01382,N,미국
SYN-01383,N,해외
SYN-01384,N,
SYN-01385,Y,미국
SYN-01386,Y,해외
SYN-01387,N,해외
SYN-01388,N,해외
SYN-01389,N,해외
SYN-01390,N,미국
SYN-01391,N,미국
SYN-01392,Y,미국
SYN-01393,Y,해외
SYN-01394,N,해외
SYN-01395,N,미국
SYN-01396,Y,미국
SYN-01397,N,미국
SYN-01398,Y,해외
SYN-01399,N,해외
SYN-01400,Y,해외
SYN-01401,N,미국
SYN-01402,Y,해외
SYN-01403,N,
SYN-01404,N,해외
SYN-01405,N,해외
SYN-01406,Y,해외
SYN-01407,N,미국
SYN-01408,N,해외
SYN-01409,N,해외
SYN-01410,N,해외
SYN-01411,N,미국
SYN-01412,Y,미국
SYN-01413,Y,해외
SYN-01414,Y,
SYN-01415,N,
SYN-01416,Y,해외
SYN-01417,Y,해외
SYN-01418,N,해외
SYN-01419,Y,
SYN-01420,Y,미국
SYN-01421,Y,미국
SYN-01422,N,해외
SYN-01423,N,미국
SYN-01424,N,해외
SYN-01425,N,미국
SYN-01426,N,미국
SYN-01427,N,해외
SYN-01428,Y,미국
SYN-01429,N,해외
SYN-01430,N,미국
SYN-01431,N,
SYN-01432,N,미국
SYN-01433,N,해외
SYN-01434,N,해외
SYN-01435,N,해외
SYN-01436,Y,해외
SYN-01437,Y,해외
SYN-01438,N,해외
SYN-01439,N,해외
SYN-01440,Y,해외
SYN-01441,N,미국
SYN-01442,N,해외
SYN-01443,N,해외
SYN-01444,N,해외
SYN-01445,N,미국
SYN-01446,N,미국
SYN-01447,N,
SYN-01448,N,미국
SYN-01449,N,해외
SYN-01450,Y,미국
SYN-01451,Y,해외
SYN-01452,N,
SYN-01453,N,해외
SYN-01454,N,해외
SYN-01455,Y,해외
SYN-01456,N,해외
SYN-01457,N,해외
SYN-01458,Y,해외
SYN-01459,N,
SYN-01460,Y,해외
SYN-01461,Y,미국
SYN-01462,N,해외
SYN-01463,N,미국
SYN-01464,N,해외
SYN-01465,Y,해외
SYN-01466,N,미국
SYN-01467,Y,해외
SYN-01468,N,미국
SYN-01469,N,해외
SYN-01470,N,해외
SYN-01471,N,해외
SYN-01472,N,미국
SYN-01473,Y,미국
SYN-01474,N,미국
SYN-01475,N,
SYN-01476,N,미국
SYN-01477,N,미국
SYN-01478,N,미국
SYN-01479,N,미국
SYN-01480,N,해외
SYN-01481,N,미국
SYN-01482,N,미국
SYN-01483,Y,
SYN-01484,Y,해외
SYN-01485,Y,해외
SYN-01486,Y,미국
SYN-01487,N,미국
SYN-01488,N,해외
SYN-01489,N,해외
SYN-01490,Y,미국
SYN-01491,N,미국
SYN-01492,N,해외
SYN-01493,N,해외
SYN-01494,Y,해외
SYN-01495,N,
SYN-01496,N,미국
SYN-01497,N,해외
SYN-01498,N,미국
SYN-01499,N,미국
SYN-01500,Y,미국
SYN-01501,N,해외
SYN-01502,N,미국
SYN-01503,N,해외
SYN-01504,Y,미국
SYN-01505,N,해외
SYN-01506,Y,미국
SYN-01507,N,해외
SYN-01508,N,미국
SYN-01509,N,해외
SYN-01510,N,해외
SYN-01511,Y,해외
SYN-01512,Y,해외
SYN-01513,N,미국
SYN-01514,Y,
SYN-01515,N,미국
SYN-01516,N,해외
SYN-01517,Y,미국
SYN-01518,N,미국
SYN-01519,N,미국
SYN-01520,N,미국
SYN-01521,Y,해외
SYN-01522,N,해외
SYN-01523,N,해외
SYN-01524,N,미국
SYN-01525,N,미국
SYN-01526,N,해외
SYN-01527,N,해외
SYN-01528,N,미국
SYN-01529,N,미국
SYN-01530,Y,해외
SYN-01531,Y,해외
SYN-01532,N,해외
SYN-01533,N,해외
SYN-01534,N,미국
SYN-01535,N,해외
SYN-01536,N,미국
SYN-01537,N,미국
SYN-01538,Y,
SYN-01539,N,미국
SYN-01540,N,해외
SYN-01541,N,해외
SYN-01542,N,미국
SYN-01543,N,미국
SYN-01544,N,해외
SYN-01545,Y,해외
SYN-01546,N,미국
SYN-01547,Y,해외
SYN-01548,N,해외
SYN-01549,N,미국
SYN-01550,N,미국
SYN-01551,Y,해외
SYN-01552,N,미국
SYN-01553,N,미국
SYN-01554,N,해외
SYN-01555,Y,해외
SYN-01556,N,해외
SYN-01557,N,미국
SYN-01558,N,미국
SYN-01559,N,해외
SYN-01560,N,미국
SYN-01561,N,해외
SYN-01562,N,해외
SYN-01563,N,미국
SYN-01564,N,해외
SYN-01565,N,해외
SYN-01566,Y,미국
SYN-01567,N,미국
SYN-01568,Y,해외
SYN-01569,N,미국
SYN-01570,Y,해외
SYN-01571,Y,
SYN-01572,N,미국
SYN-01573,N,미국
SYN-01574,N,해외
SYN-01575,N,해외
SYN-01576,N,미국
SYN-01577,N,해외
SYN-01578,Y,미국
SYN-01579,N,미국
SYN-01580,Y,해외
SYN-01581,N,미국
SYN-01582,N,해외
SYN-01583,N,미국
SYN-01584,N,미국
SYN-01585,Y,해외
SYN-01586,N,해외
SYN-01587,Y,미국
SYN-01588,N,미국
SYN-01589,N,미국
SYN-01590,N,미국
SYN-01591,Y,해외
SYN-01592,N,미국
SYN-01593,N,미국
SYN-01594,N,해외
SYN-01595,N,미국
SYN-01596,N,해외
SYN-01597,Y,해외
SYN-01598,N,해외
SYN-01599,N,해외
SYN-01600,N,해외
SYN-01601,N,해외
SYN-01602,Y,미국
SYN-01603,N,미국
SYN-01604,Y,해외
SYN-01605,N,해외
SYN-01606,N,해외
SYN-01607,N,미국
SYN-01608,N,해외
SYN-01609,N,해외
SYN-01610,N,미국
SYN-01611,N,미국
SYN-01612,N,미국
SYN-01613,Y,미국
SYN-01614,Y,미국
SYN-01615,N,미국
SYN-01616,N,해외
SYN-01617,N,해외
SYN-01618,N,해외
SYN-01619,N,해외
SYN-01620,N,해외
SYN-01621,N,미국
SYN-01622,N,미국
SYN-01623,N,미국
SYN-01624,N,미국
SYN-01625,N,해외
SYN-01626,N,미국
SYN-01627,Y,해외
SYN-01628,N,미국
SYN-01629,N,해외
SYN-01630,N,미국
SYN-01631,N,
SYN-01632,Y,해외
SYN-01633,N,미국
SYN-01634,N,해외
SYN-01635,N,미국
SYN-01636,Y,미국
SYN-01637,N,미국
SYN-01638,N,해외
SYN-01639,N,해외
SYN-01640,N,미국
SYN-01641,Y,미국
SYN-01642,N,미국
SYN-01643,Y,미국
SYN-01644,N,해외
SYN-01645,Y,해외
SYN-01646,N,해외
SYN-01647,N,
SYN-01648,N,미국
SYN-01649,N,미국
SYN-01650,Y,해외
SYN-01651,Y,해외
SYN-01652,Y,해외
SYN-01653,N,
SYN-01654,N,미국
SYN-01655,N,해외
SYN-01656,Y,해외
SYN-01657,N,미국
SYN-01658,N,미국
SYN-01659,N,미국
SYN-01660,Y,해외
SYN-01661,N,해외
SYN-01662,N,미국
SYN-01663,N,미국
SYN-01664,Y,미국
SYN-01665,Y,미국
SYN-01666,N,미국
SYN-01667,N,미국
SYN-01668,N,
SYN-01669,N,미국
SYN-01670,N,미국
SYN-01671,N,해외
SYN-01672,N,
SYN-01673,N,미국
SYN-01674,N,해외
SYN-01675,N,
SYN-01676,N,해외
SYN-01677,Y,해외
SYN-01678,N,미국
SYN-01679,Y,미국
SYN-01680,N,미국
SYN-01681,N,미국
SYN-01682,Y,미국
SYN-01683,N,미국
SYN-01684,N,해외
SYN-01685,N,해외
SYN-01686,N,미국
SYN-01687,N,해외
SYN-01688,N,미국
SYN-01689,N,미국
SYN-01690,Y,해외
SYN-01691,N,해외
SYN-01692,N,해외
SYN-01693,N,해외
SYN-01694,Y,해외
SYN-01695,N,해외
SYN-01696,N,해외
SYN-01697,N,해외
SYN-01698,N,해외
SYN-01699,N,해외
SYN-01700,N,미국
SYN-01701,N,해외
SYN-01702,N,
SYN-01703,N,미국
SYN-01704,Y,미국
SYN-01705,N,미국
SYN-01706,Y,미국
SYN-01707,N,미국
SYN-01708,Y,해외
SYN-01709,N,해외
SYN-01710,N,미국
SYN-01711,N,
SYN-01712,N,미국
SYN-01713,Y,해외
SYN-01714,N,해외
SYN-01715,N,해외
SYN-01716,Y,미국
SYN-01717,N,해외
SYN-01718,N,해외
SYN-01719,N,해외
SYN-01720,N,해외
SYN-01721,Y,미국
SYN-01722,N,미국
SYN-01723,N,
SYN-01724,N,해외
SYN-01725,Y,미국
SYN-01726,N,해외
SYN-01727,Y,미국
SYN-01728,Y,해외
SYN-01729,N,미국
SYN-01730,N,해외
SYN-01731,N,해외
SYN-01732,N,해외
SYN-01733,N,미국
SYN-01734,N,미국
SYN-01735,Y,미국
SYN-01736,N,미국
SYN-01737,N,미국
SYN-01738,N,해외
SYN-01739,Y,미국
SYN-01740,N,미국
SYN-01741,N,해외
SYN-01742,N,미국
SYN-01743,N,
SYN-01744,N,해외
SYN-01745,N,해외
SYN-01746,N,미국
SYN-01747,N,
SYN-01748,N,미국
SYN-01749,N,해외
SYN-01750,N,해외
SYN-01751,Y,미국
SYN-01752,N,미국
SYN-01753,N,미국
SYN-01754,Y,미국
SYN-01755,N,미국
SYN-01756,Y,해외
SYN-01757,N,미국
SYN-01758,Y,
SYN-01759,N,해외
SYN-01760,N,미국
SYN-01761,N,해외
SYN-01762,N,해외
SYN-01763,N,해외
SYN-01764,N,미국
SYN-01765,Y,미국
SYN-01766,N,미국
SYN-01767,N,해외
SYN-01768,N,해외
SYN-01769,N,
SYN-01770,N,미국
SYN-01771,N,미국
SYN-01772,Y,미국
SYN-01773,N,
SYN-01774,N,해외
SYN-01775,N,미국
SYN-01776,N,미국
SYN-01777,N,해외
SYN-01778,Y,해외
SYN-01779,Y,해외
SYN-01780,N,해외
SYN-01781,Y,미국
SYN-01782,N,미국
SYN-01783,N,해외
SYN-01784,N,미국
SYN-01785,N,미국
SYN-01786,N,
SYN-01787,Y,해외
SYN-01788,N,해외
SYN-01789,Y,
SYN-01790,N,해외
SYN-01791,N,해외
SYN-01792,N,미국
SYN-01793,N,미국
SYN-01794,N,미국
SYN-01795,N,미국
SYN-01796,N,미국
SYN-01797,N,해외
SYN-01798,Y,미국
SYN-01799,Y,미국
SYN-01800,N,해외
SYN-01801,Y,해외
SYN-01802,N,미국
SYN-01803,Y,해외
SYN-01804,N,해외
SYN-01805,N,
SYN-01806,N,해외
SYN-01807,N,미국
SYN-01808,N,해외
SYN-01809,Y,미국
SYN-01810,N,미국
SYN-01811,N,해외
SYN-01812,N,미국
SYN-01813,Y,미국
SYN-01814,Y,해외
SYN-01815,N,미국
SYN-01816,N,미국
SYN-01817,N,해외
SYN-01818,N,해외
SYN-01819,Y,
SYN-01820,Y,해외
SYN-01821,N,해외
SYN-01822,Y,미국
SYN-01823,N,해외
SYN-01824,N,미국
SYN-01825,N,미국
SYN-01826,N,해외
SYN-01827,N,해외
SYN-01828,Y,미국
SYN-01829,N,해외
SYN-01830,Y,해외
SYN-01831,N,
SYN-01832,Y,해외
SYN-01833,N,해외
SYN-01834,N,해외
SYN-01835,N,해외
SYN-01836,Y,해외
SYN-01837,N,해외
SYN-01838,Y,해외
SYN-01839,N,해외
SYN-01840,N,미국
SYN-01841,Y,미국
SYN-01842,N,미국
SYN-01843,Y,해외
SYN-01844,N,
SYN-01845,N,해외
SYN-01846,N,해외
SYN-01847,N,해외
SYN-01848,Y,해외
SYN-01849,Y,미국
SYN-01850,N,해외
SYN-01851,N,해외
SYN-01852,N,해외
SYN-01853,Y,
SYN-01854,N,미국
SYN-01855,N,해외
SYN-01856,N,미국
SYN-01857,N,미국
SYN-01858,N,미국
SYN-01859,Y,해외
SYN-01860,Y,미국
SYN-01861,N,해외
SYN-01862,Y,미국
SYN-01863,N,미국
SYN-01864,N,미국
SYN-01865,N,해외
SYN-01866,N,미국
SYN-01867,Y,해외
SYN-01868,N,미국
SYN-01869,N,해외
SYN-01870,N,미국
SYN-01871,N,미국
SYN-01872,Y,해외
SYN-01873,N,
SYN-01874,Y,미국
SYN-01875,N,미국
SYN-01876,N,해외
SYN-01877,N,해외
SYN-01878,N,해외
SYN-01879,N,해외
SYN-01880,Y,해외
SYN-01881,Y,미국
SYN-01882,Y,
SYN-01883,Y,해외
SYN-01884,Y,해외
SYN-01885,Y,미국
SYN-01886,N,해외
SYN-01887,N,미국
SYN-01888,N,해외
SYN-01889,N,해외
SYN-01890,N,해외
SYN-01891,Y,미국
SYN-01892,Y,해외
SYN-01893,N,해외
SYN-01894,Y,해외
SYN-01895,N,
SYN-01896,N,해외
SYN-01897,N,
SYN-01898,Y,해외
SYN-01899,N,해외
SYN-01900,N,미국
SYN-01901,N,해외
SYN-01902,N,미국
SYN-01903,N,해외
SYN-01904,Y,해외
SYN-01905,N,해외
SYN-01906,N,해외
SYN-01907,N,미국
SYN-01908,Y,해외
SYN-01909,N,미국
SYN-01910,Y,해외
SYN-01911,N,미국
SYN-01912,N,미국
SYN-01913,Y,미국
SYN-01914,N,해외
SYN-01915,N,미국
SYN-01916,N,미국
SYN-01917,Y,해외
SYN-01918,Y,미국
SYN-01919,Y,미국
SYN-01920,Y,미국
SYN-01921,N,해외
SYN-01922,N,미국
SYN-01923,N,해외
SYN-01924,Y,미국
SYN-01925,Y,미국
SYN-01926,Y,해외
SYN-01927,N,해외
SYN-01928,N,해외
SYN-01929,N,해외
SYN-01930,N,미국
SYN-01931,Y,해외
SYN-01932,N,미국
SYN-01933,N,해외
SYN-01934,Y,미국
SYN-01935,N,해외
SYN-01936,N,미국
SYN-01937,N,해외
SYN-01938,N,해외
SYN-01939,N,해외
SYN-01940,N,미국
SYN-01941,N,
SYN-01942,Y,미국
SYN-01943,Y,해외
SYN-01944,Y,미국
SYN-01945,N,미국
SYN-01946,N,
SYN-01947,N,해외
SYN-01948,N,미국
SYN-01949,N,해외
SYN-01950,N,
SYN-01951,N,미국
SYN-01952,N,미국
SYN-01953,N,미국
SYN-01954,N,미국
SYN-01955,N,미국
SYN-01956,N,미국
SYN-01957,N,미국
SYN-01958,N,미국
SYN-01959,N,해외
SYN-01960,N,해외
SYN-01961,Y,미국
SYN-01962,N,미국
SYN-01963,N,해외
SYN-01964,N,해외
SYN-01965,Y,해외
SYN-01966,N,해외
SYN-01967,N,미국
SYN-01968,N,해외
SYN-01969,Y,미국
SYN-01970,N,
SYN-01971,N,미국
SYN-01972,N,미국
SYN-01973,N,해외
SYN-01974,N,미국
SYN-01975,Y,해외
SYN-01976,Y,미국
SYN-01977,Y,해외
SYN-01978,N,미국
SYN-01979,N,미국
SYN-01980,Y,미국
SYN-01981,N,해외
SYN-01982,Y,미국
SYN-01983,N,해외
SYN-01984,N,미국
SYN-01985,N,미국
SYN-01986,Y,미국
SYN-01987,N,미국
SYN-01988,Y,미국
SYN-01989,Y,해외
SYN-01990,N,해외
SYN-01991,N,해외
SYN-01992,N,해외
SYN-01993,N,미국
SYN-01994,N,
SYN-01995,N,미국
SYN-01996,Y,해외
SYN-01997,Y,미국
SYN-01998,N,해외
SYN-01999,N,해외
SYN-02000,Y,
